Key,English,Espanol,Brazil
Common.Setting,SETTING,AJUSTE,CONFIGURAÇÃO
Common.Shop,SHOP,TIENDA,FAZER COMPRAS
Common.Language,Language,Idioma,Língua
Common.Sounds,Sounds,Sonidos,Sons
Common.BgMusic,Music,Música,Música
Common.RemAds,Remove ADS,Quitar Anuncios,Remover Propagandas
Common.iapDesc,Remove ads completely,Evitar Los Anuncios Por Completo,Remover Anúncios Completamente
Common.iapRestore,Restore purchases,Restaurar las compras,Restaurar compras
Common.iapDescRestore,Did you reinstall or install the app on a new device?,¿Se vuelve a instalar o instalar la aplicación en un dispositivo nuevo?,Você reinstalar ou instalar o aplicativo em um novo dispositivo?
Common.Buy,Buy,Comprar,Comprar
Common.Restore,Restore,Restaurar,Restaurar
Common.Instruments,Instruments,Instrumentos,Instrumentos
Common.Songs,Songs,Canciones,Cançòes
Common.PressNumber,Press the number to continue:,Presione el número de continuar:,Pressione o número para continuar:
Common.Sounds2,SOUNDS,SONIDOS,SONS
Common.iapSuccess,Successful! Enjoy the game.,¡Exitoso! Disfruta el juego.,Bem sucedido! Aproveite o jogo.